Country Name;2018;2017;2016;2015;2014
South Africa;26.92%;27.07%;26.55%;25.16%;24.90%
West Bank And Gaza;26.26%;25.68%;23.94%;23.01%;20.53%
Lesotho;23.97%;24.13%;24.30%;24.39%;24.47%
Eswatini;22.36%;22.54%;22.72%;23.46%;24.19%
St. Lucia;20.88%;21.07%;21.26%;24.09%;23.12%
North Macedonia;20.74%;22.38%;23.72%;26.07%;28.03%
Namibia;19.88%;21.57%;23.35%;20.88%;18.52%
Gabon;19.81%;19.98%;20.16%;20.26%;20.34%
Greece;19.29%;21.49%;23.54%;24.90%;26.49%
St. Vincent And The Grenadines;18.88%;19.05%;19.22%;19.32%;19.39%
Libya;18.47%;18.63%;18.79%;18.88%;18.96%
Bosnia;18.40%;20.53%;25.41%;27.69%;27.52%
Armenia;17.50%;17.71%;17.62%;18.26%;17.50%
Botswana;17.35%;17.51%;17.66%;17.75%;17.82%
Sudan;16.90%;17.06%;17.22%;17.32%;17.39%
Tunisia;15.46%;15.38%;15.51%;15.22%;15.06%
Spain;15.26%;17.22%;19.64%;22.06%;24.44%
Montenegro;15.18%;16.07%;17.72%;17.54%;18.00%
Jordan;14.96%;15.12%;15.28%;13.08%;11.90%
Georgia;13.79%;13.94%;16.60%;16.51%;17.44%
Haiti;13.59%;13.74%;13.88%;13.97%;14.03%
Sao Tome And Principe;13.15%;13.27%;13.40%;13.47%;13.53%
Yemen;13.00%;13.15%;13.31%;13.40%;13.47%
Iraq;12.86%;13.02%;10.82%;10.71%;10.59%
New Caledonia;12.85%;13.25%;13.68%;14.13%;14.59%
Serbia;12.73%;13.48%;15.26%;17.66%;19.22%
Albania;12.34%;13.75%;15.22%;17.08%;17.49%
Brazil;12.33%;12.82%;11.60%;8.43%;6.66%
French Polynesia;12.31%;12.77%;13.26%;13.75%;14.29%
South Sudan;12.23%;12.36%;12.50%;12.58%;12.64%
Cabo Verde;12.17%;12.24%;12.11%;11.91%;11.70%
Iran;12.04%;12.10%;12.43%;11.06%;10.57%
Guyana;11.91%;12.04%;12.06%;12.00%;11.94%
Algeria;11.88%;12.00%;10.20%;11.21%;10.21%
Egypt;11.59%;11.74%;12.41%;13.05%;13.11%
Zambia;11.50%;11.63%;10.88%;10.11%;9.34%
Somalia;11.28%;11.41%;11.55%;11.62%;11.69%
Tajikistan;11.13%;11.27%;11.42%;11.50%;11.57%
Afghanistan;11.06%;11.18%;11.31%;11.39%;11.45%
Turkey;10.89%;10.82%;10.84%;10.24%;9.88%
Italy;10.61%;11.21%;11.69%;11.90%;12.68%
Djibouti;10.26%;10.38%;10.51%;10.58%;10.64%
Bahamas;10.00%;9.80%;12.70%;12.00%;13.80%
Congo, Rep.;9.67%;9.76%;9.86%;9.91%;9.96%
Costa Rica;9.63%;8.14%;8.60%;9.00%;9.06%
Mauritania;9.46%;9.58%;9.69%;9.76%;9.81%
Barbados;9.39%;9.76%;9.72%;11.35%;12.17%
Argentina;9.22%;8.35%;7.98%;7.75%;7.27%
Puerto Rico;9.20%;10.80%;11.80%;12.00%;13.90%
Colombia;9.11%;8.87%;8.69%;8.30%;8.57%
Jamaica;9.10%;11.63%;13.19%;13.51%;13.74%
Morocco;9.08%;9.19%;9.30%;9.46%;9.70%
France;9.06%;9.40%;10.06%;10.36%;10.29%
Gambia;9.03%;9.14%;9.25%;9.31%;9.37%
Brunei;8.86%;9.32%;8.71%;7.91%;6.97%
Ukraine;8.80%;9.51%;9.35%;9.14%;9.27%
Croatia;8.43%;11.21%;13.10%;16.18%;17.29%
Virgin Islands (U.S.);8.40%;8.75%;9.17%;9.53%;9.91%
Cyprus;8.37%;11.05%;12.95%;14.91%;16.09%
